T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.12.07_05:12:00_TAI,14111,9.014185e+22,7481.818,151827000000000.0,5.144,4756.360352,2.351824e+24,12892.35,Invalid KeyLink,15690830000000.0,52.244,102.535,105.712,0.22364612,Invalid KeyLink,46.07,0.00144712,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:24:00_TAI,14111,8.999517e+22,7450.037,152363600000000.0,5.106,4763.665527,2.352574e+24,12875.94,Invalid KeyLink,16746600000000.0,52.385,102.293,105.368,0.22253968,Invalid KeyLink,46.166,0.00139143,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:36:00_TAI,14111,8.935742e+22,7423.422,151356900000000.0,5.165,4776.916504,2.353934e+24,12968.21,Invalid KeyLink,14150390000000.0,52.564,101.649,105.212,0.20268928,Invalid KeyLink,46.436,0.0019036,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:48:00_TAI,14111,8.940002e+22,7446.197,151754100000000.0,5.158,4790.049316,2.356109e+24,12879.93,Invalid KeyLink,15920320000000.0,52.664,100.892,104.699,0.22627757,Invalid KeyLink,46.656,0.00228974,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:00:00_TAI,14111,8.934403e+22,7440.41,150427000000000.0,5.176,4800.193848,2.355498e+24,12884.53,Invalid KeyLink,14970070000000.0,52.671,100.285,104.529,0.21290071,Invalid KeyLink,46.594,0.00239902,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:12:00_TAI,14111,8.96848e+22,7428.713,150406400000000.0,5.201,4805.870605,2.354191e+24,12814.27,Invalid KeyLink,13823390000000.0,52.559,99.933,104.517,0.19562769,Invalid KeyLink,46.412,0.00209694,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:24:00_TAI,14111,9.04259e+22,7477.986,150353700000000.0,5.216,4816.942383,2.352322e+24,12697.63,Invalid KeyLink,14960960000000.0,52.352,99.558,104.563,0.20996426,Invalid KeyLink,45.904,0.00216275,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:36:00_TAI,14111,9.06907e+22,7468.283,149742100000000.0,5.209,4804.644531,2.356381e+24,12699.24,Invalid KeyLink,17140830000000.0,52.25,99.627,105.052,0.18500014,Invalid KeyLink,45.654,0.00159129,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:48:00_TAI,14111,9.14282e+22,7609.853,151961400000000.0,5.201,4809.185547,2.36077e+24,12622.97,Invalid KeyLink,14981710000000.0,51.947,99.925,105.636,0.19085893,Invalid KeyLink,45.065,0.00192303,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:00:00_TAI,14111,9.247007e+22,7713.838,153612600000000.0,5.179,4825.509766,2.362244e+24,12419.89,Invalid KeyLink,15941940000000.0,51.726,99.528,105.204,0.18455681,Invalid KeyLink,44.829,0.00150665,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:12:00_TAI,14111,9.348448e+22,7830.885,156270100000000.0,5.205,4832.010742,2.36395e+24,12295.87,Invalid KeyLink,18400290000000.0,51.437,100.005,105.846,0.17310457,Invalid KeyLink,44.363,0.00156903,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:24:00_TAI,14111,9.410398e+22,7919.115,157784700000000.0,5.202,4843.486816,2.368899e+24,12273.37,Invalid KeyLink,17564060000000.0,51.178,100.781,106.85,0.14053163,Invalid KeyLink,44.055,0.00119984,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
